unique_id,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
234,571241,12/18/2012,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers,['NM Coulter-Nile']
235,571242,12/19/2012,male,Docklands Stadium,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades,['MN Samuels']
236,571243,12/20/2012,male,Stadium Australia,Sydney Thunder,Adelaide Strikers,Sydney Thunder,field,Adelaide Strikers,['KW Richardson']
237,571245,12/22/2012,male,Docklands Stadium,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Melbourne Renegades,['BCJ Cutting']
238,571247,12/23/2012,male,Adelaide Oval,Adelaide Strikers,Sydney Sixers,Sydney Sixers,bat,Adelaide Strikers,['TP Ludeman']
239,571248,12/26/2012,male,Sydney Cricket Ground,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes,['RT Ponting']
240,571249,12/27/2012,male,Adelaide Oval,Adelaide Strikers,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars,['BJ Hodge']
241,571250,12/28/2012,male,Stadium Australia,Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat,['DT Christian']
242,571251,12/29/2012,male,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Perth Scorchers,['SE Marsh']
243,571252,12/30/2012,male,Stadium Australia,Sydney Thunder,Sydney Sixers,Sydney Thunder,bat,Sydney Sixers,['DP Hughes']
244,571254,1/2/2013,male,Docklands Stadium,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,field,Melbourne Renegades,['M Muralitharan']
245,571256,1/4/2013,male,Western Australia Cricket Association Ground,Perth Scorchers,Sydney Thunder,Sydney Thunder,bat,Perth Scorchers,['JP Behrendorff']
246,571258,1/6/2013,male,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades,['AJ Finch']
247,571259,1/7/2013,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,Sydney Sixers,['MJ Lumb']
248,571260,1/8/2013,male,Melbourne Cricket Ground,Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Melbourne Stars,['CH Gayle']
249,571262,1/10/2013,male,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,['SE Marsh']
250,571264,2/4/2013,male,Docklands Stadium,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,['LA Pomersbach']
251,571265,2/5/2013,male,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Stars,Perth Scorchers,field,Perth Scorchers,['SE Marsh']
252,571266,1/19/2013,male,Western Australia Cricket Association Ground,Perth Scorchers,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,['NM Hauritz']
253,654031,12/20/2013,male,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Stars,['LJ Wright']
254,654033,12/21/2013,male,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,Sydney Sixers,field,Sydney Sixers,['NJ Maddinson']
255,654035,12/22/2013,male,Bellerive Oval,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,field,no result,['NJ Maddinson']
256,654037,12/22/2013,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Perth Scorchers,Perth Scorchers,bat,Brisbane Heat,['CA Lynn']
257,654039,12/26/2013,male,Western Australia Cricket Association Ground,Perth Scorchers,Melbourne Renegades,Perth Scorchers,bat,Perth Scorchers,['Yasir Arafat']
258,654041,12/27/2013,male,Stadium Australia,Sydney Thunder,Adelaide Strikers,Sydney Thunder,field,Adelaide Strikers,['MEK Hussey']
259,654043,12/28/2013,male,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Hobart Hurricanes,Brisbane Heat,bat,Hobart Hurricanes,['BR Dunk']
