,Match_Id,Date,Gender,Venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
283,1190751,2019-08-12,female,Sportpark Het Schootsveld,Netherlands,Ireland,Ireland,bat,no result,['Zishan Shah']
284,1190752,2019-08-13,female,Sportpark Het Schootsveld,Ireland,Thailand,Ireland,bat,Thailand,['Zishan Shah']
285,1190753,2019-08-13,female,Sportpark Het Schootsveld,Netherlands,Scotland,Netherlands,field,Scotland,['Zishan Shah']
286,1190754,2019-08-14,female,Sportpark Het Schootsveld,Ireland,Scotland,Scotland,bat,Ireland,['Zishan Shah']
287,1190755,2019-08-14,female,Sportpark Het Schootsveld,Netherlands,Thailand,Netherlands,field,Thailand,['Zishan Shah']
288,1190767,2019-07-22,male,Indian Association Ground,Singapore,Qatar,Singapore,bat,Singapore,['Janak Prakash']
289,1190768,2019-07-22,male,Indian Association Ground,Kuwait,Malaysia,Malaysia,bat,Malaysia,['Syed Aziz']
290,1190769,2019-07-23,male,Indian Association Ground,Nepal,Qatar,Nepal,bat,Qatar,['Inam-ul-Haq']
291,1190771,2019-07-24,male,Indian Association Ground,Malaysia,Nepal,Nepal,field,Nepal,['G Malla']
292,1190772,2019-07-26,male,Indian Association Ground,Kuwait,Qatar,Qatar,field,Kuwait,['Adnan Idrees']
293,1190773,2019-07-26,male,Indian Association Ground,Singapore,Malaysia,Malaysia,bat,Singapore,['S Chandramohan']
294,1190774,2019-07-27,male,Indian Association Ground,Kuwait,Nepal,Nepal,field,Nepal,['P Khadka']
295,1190775,2019-07-27,male,Indian Association Ground,Malaysia,Qatar,Malaysia,bat,Qatar,['Nouman Sarwar']
296,1190776,2019-07-28,male,Indian Association Ground,Singapore,Nepal,Singapore,bat,Singapore,['TH David']
297,1191006,2019-08-05,male,VRA Ground,Netherlands,United Arab Emirates,United Arab Emirates,field,United Arab Emirates,['TH David']
298,1191008,2019-08-08,male,Sportpark Westvliet,Netherlands,United Arab Emirates,Netherlands,bat,United Arab Emirates,['TH David']
299,1192223,2019-07-13,male,Kinrara Academy Oval,Malaysia,Nepal,Malaysia,bat,Nepal,['P Khadka']
300,1192224,2019-07-14,male,Kinrara Academy Oval,Malaysia,Nepal,Nepal,bat,Nepal,['B Bhandari']
301,1192875,2019-09-01,male,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,['LRPL Taylor']
302,1192876,2019-09-03,male,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,['TG Southee']
303,1192877,2019-09-06,male,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,bat,Sri Lanka,['SL Malinga']
304,1193494,2019-11-14,male,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan,field,West Indies,['KA Pollard']
305,1193495,2019-11-16,male,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan,bat,Afghanistan,['Karim Janat']
306,1193496,2019-11-17,male,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,Afghanistan,bat,Afghanistan,['Rahmanullah Gurbaz']
307,1196033,2019-09-07,female,Gahanga International Cricket Stadium. Rwanda,Rwanda,Nigeria,Nigeria,bat,Rwanda,['S Sunday']
308,1197047,2019-09-02,female,Forthill,Bangladesh,Papua New Guinea,Papua New Guinea,field,Bangladesh,['Nahida Akter']
309,1197049,2019-08-31,female,Forthill,Scotland,United States of America,Scotland,bat,Scotland,['KE Bryce']
310,1197051,2019-09-01,female,Forthill,Namibia,Thailand,Thailand,bat,Thailand,['C Sutthiruang']
311,1197052,2019-09-01,female,Lochlands,Scotland,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,['B Tau']
312,1197053,2019-09-01,female,Forthill,Ireland,Netherlands,Ireland,bat,Ireland,['L Delany']
313,1197054,2019-09-01,female,Lochlands,Bangladesh,United States of America,United States of America,bat,Bangladesh,['Nahida Akter']
314,1197055,2019-09-03,female,Forthill,Ireland,Thailand,Ireland,field,Thailand,['S Laomi']
315,1197056,2019-09-03,female,Lochlands,Namibia,Netherlands,Namibia,bat,Netherlands,['HDJ Siegers']
316,1197057,2019-09-03,female,Forthill,Scotland,Bangladesh,Scotland,field,Bangladesh,['Nigar Sultana']
317,1197058,2019-09-03,female,Lochlands,Papua New Guinea,United States of America,United States of America,field,Papua New Guinea,['S Jimmy']
318,1197059,2019-09-05,female,Forthill,Bangladesh,Ireland,Ireland,bat,Bangladesh,['Sanjida Islam']
319,1197061,2019-09-05,female,Forthill,Papua New Guinea,Thailand,Papua New Guinea,bat,Thailand,['S Laomi']
320,1197062,2019-09-05,female,Lochlands,Scotland,Namibia,Scotland,field,Scotland,['SJ Bryce']
321,1197063,2019-09-07,female,Forthill,Ireland,Papua New Guinea,Ireland,field,Ireland,['KJ Garth']
322,1197064,2019-09-07,female,Lochlands,Namibia,United States of America,United States of America,field,United States of America,['S Ramautar']
323,1197065,2019-09-07,female,Forthill,Bangladesh,Thailand,Bangladesh,bat,Bangladesh,['Sanjida Islam']
324,1197066,2019-09-07,female,Lochlands,Scotland,Netherlands,Netherlands,field,Scotland,['SJ Bryce']
325,1197140,2019-09-13,male,"Shere Bangla National Stadium, Mirpur",Bangladesh,Zimbabwe,Bangladesh,field,Bangladesh,['Afif Hossain']
326,1197141,2019-09-14,male,"Shere Bangla National Stadium, Mirpur",Afghanistan,Zimbabwe,Zimbabwe,field,Afghanistan,['Najibullah Zadran']
